Fiscal year,Number of Loans,Loan Value ($000),Loan Average Size ($000),% Total Loan Value,Number of Claims,Claim Value ($000),Claim Average Size ($000),% Total Claim Value
"1999-2000",3087,297407.20,96.3,22,1,2.6,2.6,0.5
"2000-01",2611,255682.50,97.9,22.1,22,673.6,30.6,4.6
"2001-02",2211,215974.80,97.7,24,78,3354.90,43,7.7
"2002-03",2244,221935.70,98.9,23.3,142,7091.00,49.9,10.3
"2003-04",2253,238210.90,105.7,23.8,150,6874.20,45.8,9.6
"2004-05",2049,227406.80,111,21.8,157,6928.00,44.1,9.1
"2005-06",1806,215583.00,119.4,19.8,171,7692.10,45,10.7
"2006-07",1334,171226.30,128.4,16.7,182,7492.80,41.2,9.3
"2007-08",1081,145010.50,134.1,14.7,140,6255.60,44.7,6.5
"2008-09",1149,178186.30,155.1,19.8,171,8743.10,51.1,8.6
"2009-10",1074,226997.00,211.4,23.8,145,7905.00,54.5,7.2
"2010-11",1256,279035.50,222.2,27.5,114,5497.50,48.2,7.2
"2011-12",1044,236903.80,226.9,24.2,76,4387.70,57.7,6.6
"2012-13",910,207576.50,228.1,23.1,80,5176.00,64.7,10.2
"2013-14",795,185504.30,233.3,21.7,67,4127.20,61.6,7.2
"2014-15",681,162014.10,237.9,20.3,73,5113.90,70.1,7.7
"2015-16",780,212674.30,272.7,24.3,57,3842.90,67.4,6.6
"2016-17",876,262216.80,299.3,26.6,82,7009.10,85.5,11.4
"2017-18",941,309144.60,328.5,26.6,49,4822.70,98.4,9.8
"2018-19",953,339042.00,355.8,25.9,58,5691.40,98.1,12.9
"2019-20",863,304056.90,352.3,23.4,45,4143.80,92.1,7.7
"2020-21",690,258236.40,374.3,29.5,58,6520.10,112.4,7.5
"2021-22",863,336819.60,390.3,27.3,43,5352.40,124.5,7
"2022-23",786,344115.80,437.8,23.1,34,3462.50,101.8,5.2
"2023-24",622,266231.80,428,15,38,4235.20,111.5,4.9
"Subtotal",32959,6097193.30,185,22.7,2233,132395.30,59.3,8f.1
